pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
4330	Adam çiziyor	Çizim yok	3.4	CONTRADICTION
4342	Bir adam muz yiyor	Bir adam meyve yiyor	4.6	ENTAILMENT
4360	Bir adam bir not kesiyor	Bir adam bir kağıdı kesiyor	4.4	ENTAILMENT
4376	Bir adam gitar çalıyor	Piyano oynayan kimse yok	2.7	NEUTRAL
4411	Bir yarıştaki iki adam bir traktörün lastiklerini çeviriyor	İki adam lastik haddeleme yarışında yarışıyor	3.7	NEUTRAL
4429	Erkekler konuşuyor	Bazı yaşlı kadınlar konuşuyor	3.0	NEUTRAL
4477	Bir adam bir futbol topunu yumrukluyor	Bir adam bir kasenin içeriğini karıştırıyor	1.2	NEUTRAL
4505	Doktorlar bir adamı iyileştiriyor	Doktor hastaya yardım ediyor	4.2	ENTAILMENT
4520	Gitar oynayan adam yok	Bir adam gitar çalıyor	3.6	CONTRADICTION
4614	Araba kullanan bir adam yok	Bir adam araba kullanıyor	4.4	CONTRADICTION
4638	Bir adam tarafından bir klavye çalınıyor	Bir adam bir arp oynuyor	2.4	NEUTRAL
4650	Bir adam kılıçla kalın bir ip kesiyor	Kılıçla ip kesen bir adam yok	3.6	CONTRADICTION
4661	Bir kadın patates dilimliyor	Bir kadın patates kesiyor	4.8	ENTAILMENT
4707	Bir grup adam sahilde futbol oynuyor	Bir grup erkek sahilde futbol oynuyor	4.4	NEUTRAL
4734	Bir adam bir susturucu bir tabancaya sığdırıyor	Bir adam silahına susturucu uyguluyor	4.8	ENTAILMENT
4755	Kız kanepede oturuyor ve tığ işi yapıyor	Bir sahilde keman çalan kız yok	1.4	NEUTRAL
4767	Bir adam bir yılan pişiriyor	Yılan pişiren adam yok	3.7	CONTRADICTION
4776	Gitar çalan bir çocuk yok	Bir çocuk gitar çalıyor	3.8	CONTRADICTION
4803	Hayvanat bahçesinde bir köpekle alay eden maymun yok	Bir maymun hayvanat bahçesinde bir köpekle alay ediyor	2.935	CONTRADICTION
4814	Bir maymun bir köpeğin kuyruğunu çekiyor	Bir maymun hayvanat bahçesinde bir köpekle alay ediyor	4.4	NEUTRAL
4816	Biraz zencefil kesen kimse yok	Bir kişi biraz zencefil kesiyor	3.8	CONTRADICTION
4823	Bir kişi biraz zencefil kesiyor	Bir kişi bir soğanı dilimliyor	3.0	NEUTRAL
4831	Bir adam patatesleri parçalara ayırıyor	Bir adam patates kesmiyor	4.0	CONTRADICTION
4843	Bir adam bıçakla bir kutu açıyor	Bıçakla bir kutu açan bir adam yok	3.8	CONTRADICTION
4851	Bazı enstrümanlar bir grup tarafından oynanıyor	Bir grup bazı enstrümanlar çalıyor	5.0	ENTAILMENT
4852	Bir grup bazı enstrümanlar çalmıyor	Bir grup bazı enstrümanlar çalıyor	3.8	CONTRADICTION
4866	Bir kişi dans ediyor	Bir kadın egzersiz yapıyor	3.0	NEUTRAL
4891	Bir adam pull-up yapıyor	Adam bir spor salonunda egzersiz yapıyor	4.0	NEUTRAL
4916	Bir adam şarkı söylüyor ve gitar çalıyor	Bir adam şarkı söylüyor ve müzik aleti çalıyor	4.5	ENTAILMENT
4934	İşe alımlar bir memurla konuşuyor	Bir memur işe alımlarla konuşuyor	3.7	NEUTRAL
4963	Sarımsak bir kadın tarafından doğranıyor	Bir kadın sarımsak kesiyor	4.7	ENTAILMENT
4966	Bir kadın balık dilimliyor	Balık dilimleyen kadın yok	2.7	CONTRADICTION
4983	Bir kadın ata biniyor	Bir at bir kadın tarafından bastırılıyor	5.0	ENTAILMENT
5003	Büyük bir kedi, pençeleriyle plastik bir çekmeceyi açıyor ve içeri atlıyor	Bir kedi bir çekmece açıyor ve içeri atlıyor	4.4	ENTAILMENT
5030	Adam telefonda konuşuyor	Adam telefonda konuşuyor	4.9	ENTAILMENT
5047	Bir adam soğan kesiyor	Bir kadın soğanı kesiyor	3.5	NEUTRAL
5051	Bir adam bir kapı açıyor	Kapı açan bir adam yok	3.6	CONTRADICTION
5052	Bir adam tarafından bir kapı açılıyor	Bir adam soğanı kesiyor	1.2	NEUTRAL
5082	Bir kadın keman çalıyor	Piyano oynayan adam yok	2.1	NEUTRAL
5110	Bir şef biraz yemek hazırlıyor	Bir şef yemek hazırlıyor	4.8	ENTAILMENT
5113	İki Sumo Ringer savaşıyor	İki sumo güreşçisi savaşıyor	4.0	ENTAILMENT
5119	İki Sumo Ringer savaşıyor	Bir adam su içinde su oyuncağı sürüyor	1.0	NEUTRAL
5148	Bir adam bir parça ekmeği tereyağlandırıyor	Bir kadın bir parça ekmeği tereyağlandırıyor	3.5	NEUTRAL
5203	Kadın makarnayı bir yemeğe koyuyor	Makarna bir kadın tarafından bir yemeğe konuyor	5.0	ENTAILMENT
5206	Bir kadın bir kaseden biraz yapışkan goo çekiyor	Kadın makarnayı bir yemeğe koymuyor	2.2	NEUTRAL
5310	Flüt oynayan kız yok	Bir kız flüt oynuyor	3.6	CONTRADICTION
5349	Bir adam tarafından büyük bir flüt çalınıyor	Bir adam flüt oynuyor	4.3	ENTAILMENT
5352	Bir adam büyük bir flüt oynuyor	Flüt oynayan bir adam yok	4.1	CONTRADICTION
5374	Bir ahtapot bir kadın tarafından dilimleniyor	Bir kadın bir ahtapotu dilimliyor	5.0	ENTAILMENT
5454	Bir adam flüt oynuyor	Bir adam flüt oynamıyor	4.2	CONTRADICTION
5461	Bir kadın flüt oynuyor	Bir adam flüt oynuyor	3.7	NEUTRAL
5498	Bir kadın limon kesiyor	Bir kadın meyve kesiyor	4.2	ENTAILMENT
5540	Bir grup insan bir şovda dans ediyor	Bir grup insan yürüyor	2.3	NEUTRAL
5588	Bir kız tarafından bir cupcake yeniyor	Bir kız kek yiyor	5.0	ENTAILMENT
5657	Bir kişi bir restoranda yemek yiyor	Bir kişi yatak yapıyor	1.2	NEUTRAL
5698	Aşçı pizza üzerine peynir serpiyor	Adam pizzaya peynir serpiyor	4.0	NEUTRAL
5706	Bir adam bir av tüfeğini yeniden yüklüyor	Bir adam bir av tüfeği ateş ediyor	3.7	NEUTRAL
5745	Bir kaplan yavrusu bir topla oynuyor	Bir bebek bir bebekle oynuyor	1.4	NEUTRAL
5747	Bir bebek oyuncakla oynuyor	Bir bebek kaplanı bir topla oynuyor	3.2	NEUTRAL
5799	Bir kişi bir patates soyuyor	Bir kişi tarafından bir patates soyuluyor	5.0	ENTAILMENT
5806	Bir adam kano kürek çekiyor	Bir adam bir tekne kürek çekiyor	4.2	ENTAILMENT
5904	Bir erkek ve bir kadın bir cipte sokakta sürüyor	Bir erkek ve bir kadın açık hava aracında yoldan aşağı iniyor	4.0	NEUTRAL
5909	Bir kadın malzemeleri bir kaseye döküyor	Şef yağı baharat ediyor	3.1	NEUTRAL
5914	Bir kişi bir kişi tarafından bastırılıyor	Bir kişi ata biniyor	5.0	ENTAILMENT
5920	Bir kişi bir kişi tarafından bastırılıyor	Bir kadın patates dilimliyor	1.0	NEUTRAL
5924	Adam egzersiz yapmıyor	Adam egzersiz yapıyor	3.8	CONTRADICTION
5930	Adam egzersiz yapmıyor	İki adam savaşıyor	2.3	NEUTRAL
5938	Sebzeler bir adam tarafından bir tencereye konuyor	Birisi malzemeleri bir tencereye döküyor	4.0	ENTAILMENT
5955	Bir köpek kirde bir top bırakıyor	Bir köpek bir topu kirden geçiriyor	3.7	NEUTRAL
6001	Suda duran kahverengi köpek yok	Altın kürklü bir köpek suda	2.8	NEUTRAL
6005	Mavi gömlekli genç bir kız kaldırımda yürüyor ve pembe bir işaret tutuyor	Pembe bir işaretle genç bir kız mavi bir gömlek tutuyor ve kaldırımda yürüyor	3.4	NEUTRAL
6042	Küçük çocuk suda yürüyor ve başka bir kişi tarafından yönlendiriliyor	Küçük bir çocuk suya sıçrıyor	3.4	NEUTRAL
6047	Bir erkek ve bir kadın, koyu renkli gömlekler giyen bej boyalı bir odada ve arka planda bir monitör var	Bir erkek ve bir kadın bej bir odada, koyu renkli gömlekler giyiyor ve arka planda bir monitör var	5.0	ENTAILMENT
6078	Kot giyen bir kişi, at eyerinin tepesinde mutlu bir şekilde oturuyor	Kot pantolonundaki bir kadın atın eyerinde oturuyor	4.2	NEUTRAL
6119	Kahverengi ve beyaz bir köpek ağzında bir beyzbol tutuyor	Siyah beyaz bir köpek ağzından bir beyzbol atıyor	3.3	NEUTRAL
6131	Kırmızı mayo giyen genç bir çocuk mavi çocuk havuzuna atlıyor	Kırmızı şort giyen bir çocuk kürek havuzuna atlıyor	4.0	NEUTRAL
6146	Okyanusta iki kişi duruyor ve gün batımını izliyor	Kimse okyanusta durmuyor ve gün batımını izlemiyor	2.5	CONTRADICTION
6153	Bir yarış arabası sürücüsü ayağa kalkıyor ve elini gökyüzüne işaret ediyor	Bir yarış arabası sürücüsü oturuyor ve hareketsiz	3.0	NEUTRAL
6158	Bir yarış arabası sürücüsü ayağa kalkıyor ve elini gökyüzüne şiddetle işaret ediyor	Mavi ceketli kişi renkli bir kask giyiyor	1.6	NEUTRAL
6203	Bir bisikletçi bir grup insanda başının üstünde bir bisiklet tutuyor	Bisikletle bir grup insanın kafaları üzerinde bir bisikletçi tutuluyor	3.4	NEUTRAL
6213	Bir adam gün batımının önünde, bayrağın yakınında bir teknede oturuyor	Bir adam bir bayrağın yakınında gün batımının önünde bir teknede duruyor	3.8	NEUTRAL
6219	Bir adam bir bayrağın yakınında gün batımının önünde bir teknede duruyor	Bir adam gün batımının önünde bir teknede	4.1	ENTAILMENT
6228	Bir drag yarışındaki insanlar arabalardan çıkan alevlerden kaçıyor	Kalabalık başlangıç çizgisini terk eden iki yarış arabasını izliyor	2.6	NEUTRAL
6231	İki köpek çim üzerinde birlikte oynuyor	İki köpek çimlerde birlikte dinleniyor	3.3	NEUTRAL
6280	Siyah olan bir köpek, çimlerde koşuyor	Siyah bir köpek çimlerde koşuyor	5.0	ENTAILMENT
6287	Siyah bir köpek çimlerde koşuyor ve dili takılıyor	Siyah bir köpek çimlerde koşuyor	4.9	ENTAILMENT
6315	Sarı bir köpek çok güneşli bir günde beyaz karda koşuyor	Sarı bir köpek güneşli bir günde beyaz karda koşuyor	4.6	ENTAILMENT
6330	Bir kız kot pantolon ve pembe bir gömlek giyiyor ve koşuyor	Pembe gömlekli küçük bir çocuk çölde bir ağacın altında koşuyor	2.8	NEUTRAL
6344	Beyaz bir köpek, Noel ren geyiği kafa bandı giyiyor ve çimlerde kahverengi bir köpekle oynuyor	Köpek kulakları giyen beyaz ren geyiği kahverengi bir ren geyiğine yakındır	2.2	NEUTRAL
6358	Kırmızı kostümdeki kadın bir tuğla duvara yaslanıyor ve bir enstrüman çalıyor	Kırmızı kostümdeki kadın bir tuğla duvara yaslanmıyor ve bir enstrüman çalmıyor	3.2	CONTRADICTION
6394	Bir şelale sığ bir havuza akıyor	İnsanlar güzel bir şelalenin yanında yolda yürüyorlar	2.3	NEUTRAL
6396	Bir köpek tozlu bir çiftliğe bir paket beyaz koyun dağıtır	Bir köpek, tozlu bir çiftlikte bir paket beyaz koyun sürüsü sürüyor	3.8	NEUTRAL
6450	Küçük bir çocuk sarı bir tank üstü giyiyor ve gülüyor	Gülen bir çocuk sarı bir tankta ve üst giyiyor	3.5	NEUTRAL
6482	Kişi beyaz buz üzerinde durmuyor	Bir kişi geniş bir buzul buz alanında duruyor	3.1	NEUTRAL
6544	Buz hokeyi kalecisi sarı bir forma giyiyor ve hedefi savunuyor	Sarı bir forma içinde hedefi koruyan hokey oyuncusu yok	4.0	CONTRADICTION
6568	Bir kadın mavi kask giyiyor ve bir otoparkta bisiklet sürüyor	Bir kadın mavi bisiklet park ediyor ve çok sayıda binicilik kask giyiyor	3.1	NEUTRAL
6590	Genç bir kız bir bacağında duruyor	Genç bir kadın dans ediyor	3.3	NEUTRAL
6592	Genç bir kız bir bacağında duruyor	Genç bir kız dans ediyor	2.7	NEUTRAL
6598	Bir arı sarı bir çiçeğe yapışıyor	Bir sürü sarı çiçek üzerine küçük arı iniş yok	3.9	NEUTRAL
6625	Bir tarladan geçen bej lekeleri olan beyaz köpek yok	Bir bronz köpek fırçanın içinden geçiyor	2.7	NEUTRAL
6634	Sırtında bir binici olan bir at tarafından bir engel atlanıyor	Bir at ve binicisi bir bariyerin üzerinden atlıyor	4.5	ENTAILMENT
6649	İki genç kız bir etkinlikte süslü elbiseler giyiyor	Gençlerindeki iki kız bir etkinlikte süslü elbiseler giyiyor	4.8	ENTAILMENT
6673	Öğrencilerle dolu bir sınıf, bir bambu yapısının içinde aynı yöne bakıyor	Üniformalı bir grup öğrenci, sınıfın önünde dikkatle dinliyor	2.8	NEUTRAL
6705	Küçük olan bir çocuk, dışarıda çim dolu bir alanda açık havada tırmanma adımları	Küçük bir çocuk, çimenli bir alanda açık havada tırmanıyor	4.9	ENTAILMENT
6709	Pembe bir kazaktaki küçük bir çocuk beton bir merdivene tırmanıyor	Küçük bir çocuk, çimenli bir alanda açık havada tırmanıyor	3.5	NEUTRAL
6729	Orange'daki bir çocuk dışarıda bir kartopu ile oynuyor	Bir çocuk tarafından bir kar topu yapılıyor	3.3	NEUTRAL
6740	İnsanlar bir restoranın önünde bir bankta oturmuyor	Üç kişi bazı palmiye ağaçlarının altında bir bankta oturuyor	3.2	NEUTRAL
6756	Büyük kahverengi bir köpek ve küçük gri bir köpek kayalık bir yüzeyde duruyor	Büyük kahverengi bir köpek ve küçük gri bir köpek kayalık bir yüzeyde duruyor	4.8	ENTAILMENT
6764	Üç erkek bir nehir boyunca kayaların üzerinde dinleniyor	Üç erkek bir nehir boyunca kayalarda yürüyor	3.8	NEUTRAL
6784	Ayrıntılı bir siyah maske giyen siyah giyinmiş adam yok	Siyah giyinmiş bir adam ayrıntılı bir siyah maske giyiyor	3.4	CONTRADICTION
6849	Küçük olan iki çocuk sokakta bir oyuncak arabasıyla oynuyor	Bir baba kızını bir go-kart üzerine itiyor ve başka bir kız izliyor	2.2	NEUTRAL
6866	Altın bir köpek, uzun bir ot tarlasından geçiyor	Uzun yeşil çimlerin içinden geçen kahverengi köpek yok	4.0	NEUTRAL
6912	Beyaz ve mavi şapkalı mavi ve beyaz üniforma giyen kadın ağzını açık tutuyor ve aynı şekilde giyinmiş diğerlerinin yakınında	Bir kadın beyaz yelek ve beyaz kapaklı mavi bir gömlek giyiyor ve konuşuyor ve yürüyüş yapıyor	3.4	NEUTRAL
6932	Snowboardcu bir höyük kar üzerinde bir çeviriyor	Birisi bir tahtada havaya atlıyor	3.8	ENTAILMENT
6955	Yeşil sarışın bir çocuk salıncakta oturuyor	Sarı saçlı ve salıncakta oturan küçük kız yok	3.185	NEUTRAL
6961	Beyaz bir adam bir şapka ve çalma gitar çiziyor	Beyaz şapkalı bir adam sahnede gitar çalıyor	3.0	NEUTRAL
6971	Kırmızı üniformalı bir adam yok, kir bisiklet yarışında sıçrama yapıyor	Kırmızı üniformalı bir adam kir bisiklet yarışında bir sıçrama yapıyor	3.4	CONTRADICTION
7002	Rugby oyuncuları birbirleriyle mücadele etmiyor	Bir futbolcu rakibi tarafından ele alınıyor	2.5	NEUTRAL
7007	Beyaz bir köpek düşmüş yapraklarda duruyor	Beyaz bir köpek düşmüş yapraklarda yatıyor	3.8	NEUTRAL
7018	Giysilerde açık renkli bir çocuk kolları dışa doğru uzanır	Açık renkli giysili bir çocuk kolları dışa doğru uzanıyor	5.0	ENTAILMENT
7027	Erkek ve kız bir oyun alanında oynamıyor	Erkek ve kız açık hava spor salonunda oynuyor	3.0	NEUTRAL
7043	Motokros binici çıplak duruyor	Mavi ceketli bir motorcu, siyah pantolon ve beyaz kask kir üzerinde sürüyor ve insanlar izliyor	2.6	NEUTRAL
7044	Mavi ve siyah motokros bisikletindeki binici pantolon giymiyor	Mavi ceketli bir motorcu, siyah pantolon ve beyaz kask kir üzerinde sürüyor ve insanlar izliyor	3.2	NEUTRAL
7064	Bir rampada bir rollerblader tarafından bir numara yapılır	Bir rollerblader bir rampada bir hile yapıyor	5.0	ENTAILMENT
7088	Bir grup futbolcu hala sahada duruyor	Kalabalık bir futbol maçı izliyor	2.6	NEUTRAL
7093	Bir grup insan birlikte duruyor ve kameraya bakıyor	Bir grup insan birlikte duruyor ve kameraya bakıyor	5.0	ENTAILMENT
7214	Kahverengi bir köpek avlunun karşısında bir oyuncak ağzında koşuyor	Ağzında bir oyuncak olan bahçede koşan kahverengi köpek yok	3.8	CONTRADICTION
7228	Dizleri bükülmüş ve kolları yayılmış havada atlayan genç bir çocuk yok	Yeşil gömleği olan bir kişi çimlerin üzerine zıplıyor	2.6	NEUTRAL
7311	Hasır şapkadaki adam tarafından sigara içiliyor	Bir adam hasır şapka giyiyor ve sigara içiyor	4.8	ENTAILMENT
7319	Bir adam uzun kollu ve kot pantolonlu mavi bir gömlek giyiyor ve bir sokakta tek tekerlekli bisiklete biniyor	Bir adam mavi damalı bir gömlek giyiyor ve sokakta tek tekerlekli bisiklet sürüyor	4.3	NEUTRAL
7356	Küçük çocuklar parkta bir heykel tırmanıyor	Bir heykelde iki çocuk oynuyor	4.1	NEUTRAL
7363	Sarışın bir bayan tarafından bir kule bakılıyor	Bir kadın bir şehrin manzarasına bakıyor	3.3	NEUTRAL
7374	Bir adam, arkalarında bulutlar olan kayaların tepesinde duruyor	Birisi dağın tepesinde duruyor	3.1	NEUTRAL
7394	Bir çocuk kamerada gülümsüyor ve su altında yüzüyor	Bir çocuk bir havuzda su altında yüzüyor	4.1	NEUTRAL
7410	Amerikalı bir futbolcu kırmızı ve beyaz şerit giyiyor	Bir futbolcu siyah kol bantları giyiyor	2.4	NEUTRAL
7445	Küçük kız sallanıyor ve kadın onun arkasında duruyor	Küçük olan kız sallanıyor ve kadın arkasında duruyor	4.9	ENTAILMENT
7448	Küçük bir çocuk parkta bir salıncakta heyecan gösteriyor	Küçük olan kız sallanıyor ve kadın arkasında duruyor	3.6	NEUTRAL
7464	Bir sörfçü dalgaya biniyor	Bir adam suda bir sörf tahtasından düşüyor	3.5	NEUTRAL
7466	İnsan grubu loş bir odada oturuyor	İnsan grubu loş bir odada oturuyor	4.9	ENTAILMENT
7471	Karanlık bir odadaki bir erkek ve iki kadın mumlarla bir masada oturuyor	İnsan grubu loş bir odada oturuyor	3.6	ENTAILMENT
7475	Karanlık bir odada bir erkek ve iki kadın mumlarla bir masada oturuyor	Loş insan grubu bir odada oturuyor	2.5	NEUTRAL
7477	Beyaz gömlek ve güneş gözlükleri ve siyah gömlek ve güneş gözlüğü içinde bir adam dört şişe bira ile bir masada oturuyor	Beyaz gömlek ve güneş gözlükleri ve siyah gömlek ve güneş gözlüğü içinde bir adam dört bira şişesi ile bir masada oturuyor	4.9	ENTAILMENT
7501	Kadın kırmızı ceket giymiyor ve beyaz bir tişörtle adamın önünde bir bardak tutmuyor	Bir kişi kırmızı ceket giyiyor ve bira tutuyor	2.4	NEUTRAL
7533	Bir çocuk dışarıda oynayan birini izliyor ve ailesinin geri kalanında su atıyor	Bir çocuk bir erkeğin yanında bir hortum tutuyor ve başka bir çocuk izliyor	3.0	NEUTRAL
7541	Mor Jersey'de bir gol için topla koşan futbolcu yok	Bir futbolcu futbol taşıyan bir yetkilinin yanından geçiyor	3.3	NEUTRAL
7544	Bir futbolcu, bir futbolun yanında bir resmi taşıyor	Mor Jersey'deki bir futbolcu bir gol için topla koşuyor	2.9	NEUTRAL
7546	Mavi Leotard'daki genç bir kız havada atlıyor	Mavi renkte leotardlı genç bir kız havada atlıyor	5.0	ENTAILMENT
7548	Mavi olan genç kız havada atlıyor	Mavi olan genç bir kız havada atlıyor	5.0	ENTAILMENT
7582	Bir grup adam çamurla dolu bir tarlada ragbi oynuyor	Bazı erkekler ragbi oynuyor	4.5	ENTAILMENT
7590	Bir kişi yanında yatan motokros için tasarlanmış bir bisiklete bakıyor ve diğeri yarışıyor	Bisiklet sürücüsü başka bir bisiklet sürücüsünün kazasına bakıyor	3.1	NEUTRAL
7649	Yeşil futbol şerit giyen ve çimlerin üzerinde koşan küçük bir çocuk yok	Küçük bir çocuk yeşil bir futbol şeridi giyiyor ve çimlerin üzerinde koşuyor	3.6	CONTRADICTION
7667	Plajdaki adam, suyun kenarındaki ıslak kumda bir amuda yapmıyor	Adam sahilde suyun kenarındaki ıslak kumda bir amuda yapıyor	3.7	CONTRADICTION
7677	Genç bir anne oğluyla parkta oynuyor	Annesiyle birlikte parkta genç bir çocuk oynuyor	4.5	ENTAILMENT
7718	Bir adam bir köpeğin ağzına süper daha ürkütücü püskürtüyor	Bir köpeğin ağzına süper daha kötü püsküren kimse yok	3.8	CONTRADICTION
7720	Bir köpeğin ağzına süper daha kötü püsküren kimse yok	Bir adam su fışkırtma tabancasıyla beyaz bir köpeğin ağzına su fışkırıyor	2.9	NEUTRAL
7726	Mavi ceket giyen babası tarafından şemsiye altında bir çocuk tutuluyor	Mavi ceket giyen bir çocuk, babası tarafından bir şemsiye altında tutuluyor	4.3	NEUTRAL
7734	Mavi ceket giyen babası tarafından şemsiye altında bir çocuk tutuluyor	Bir çocuk yeni bir dünya yaşıyor	1.5	NEUTRAL
7743	Bir köpek karla kaplı bir plajda yalnız oynuyor	Bir köpek bir kar yağışı boyunca yürüyor	3.2	NEUTRAL
7772	Bir sörfçü koyu yeşil su boyunca büyük bir dalga sürüyor	Sörfçü küçük bir dalga sürüyor	3.9	CONTRADICTION
7795	Solda bir tenis oyuncusu akciğer	Bir tenis oyuncusu sola atlıyor	4.4	ENTAILMENT
7820	İki köpek suya sıçrayan bir şeye bakıyor	Bazı köpekler bir akarsuda oynamıyor	3.7	NEUTRAL
7877	Mavi kovboy şapkalı bir adam beyaz ata biniyor	Mavi bir adam toprak yolda ata biniyor	3.9	NEUTRAL
7889	İki beyaz köpek kahverengi bir köpek ve tenis topu ile oynuyor	İki beyaz köpek kahverengi bir köpek ve bir topla oynuyor	4.7	ENTAILMENT
7932	Pembe ceketli bir kişi sahaya koşuyor	Dört sporcu kalabalık bir stadyumda bir kadınla	2.0	NEUTRAL
7937	Zarif kıyafetler giymiş bir kadın, bir kalabalığın içinde ve yukarı bakıyor	Zarif kıyafetler giymiş bir kadın, bir kalabalığın içinde ve aşağı bakıyor	3.1	NEUTRAL
7938	Asyalı bir kadın kürk eşarp tutuyor	Zarif bir kadın bir kalabalığın içinde ve aşağıya bakıyor	2.2	NEUTRAL
7947	Beyaz tişörtlü bir çocuk sığ suya sıçrar	Plajda sudan bir çocuk koşuyor	3.4	NEUTRAL
7950	Bir kız sahilde suyun içinden geçiyor	Beyaz tişörtlü bir çocuk sığ suya sıçrıyor	2.3	NEUTRAL
7951	Beyaz tişörtlü bir çocuk sığ suya sıçrıyor	Plajda sudan bir çocuk koşuyor	3.5	NEUTRAL
7997	Çocuklar takım elbise giymiyor ve su sıçramıyor	Yüzme takımlarındaki çocuklar suda oynuyor	2.8	NEUTRAL
8057	Genç bir kız mavi desenli bir mayo giyiyor, siyah ve sarı bir yüzme kapağı ve kafasında mavi yüzme gözlükleri var	Küçük bir kız mavi desenli bir mayo, siyah ve sarı yüzme kapağı giyiyor ve kafasında mavi yüzme gözlükleri var	4.8	ENTAILMENT
8122	Bir kadın amigo kızı bir erkek amigo kızının dizinde oturuyor	Bazı ponpon kızlar dinleniyor	3.0	NEUTRAL
8138	Kızın kızıl saçları ve kaşları var, kulakta birkaç piercing ve arkada bir çizim	Kızın kızıl saçları ve kaşları, kulakta birkaç piercing ve arkada dövme var	4.4	ENTAILMENT
8141	Kızın kızıl saçları ve kaşları var, kulakta birkaç piercing ve arkada dövme yok	Kızıl saçlı ve kırmızı kaşları olan bir kız ortada	3.0	NEUTRAL
8163	İki kişi bir cip sürüyor ve üstünde bir bayan oturuyor	İki kişi bir cip sürüyor ve üstünde bir kız oturuyor	4.8	ENTAILMENT
8193	Yetişkinler ve çocuklar bir açık hava oturma düzenlemesinin yakınında toplanmaz	Yetişkinler ve çocuklar bir açık hava oturma düzenlemesinin yakınında toplanıyor	4.4	CONTRADICTION
8212	Bir kızın yanaklarda renkli yamalar var	Bir kız bir grupta duruyor ve siyah gömlek ve pembe boncuklar giyiyor	2.4	NEUTRAL
8220	İki köpek sudan geçiyor	İki köpek yüksek çimden geçiyor	3.335	NEUTRAL
8263	Bazı insanlar ve araçlar kalabalık bir sokakta	Bazı insanlar ve araçlar neredeyse boş bir sokakta	4.2	CONTRADICTION
8313	Boyalı yüzü olan genç bir kız diğer bazı çocukların yanında duruyor	Çocuklar kostüm giyiyor ve bir oyun oynuyor	3.1	NEUTRAL
8326	Bir su kütlesinin önünde bmx bisikletçinin atlama kir rampaları yok	İki BMX bisikletçisi bir su kütlesinin önüne kir rampaları atlıyor	4.4	CONTRADICTION
8334	Bir adam kaykayda bir numara yapıyor	Bir kişi bir kaykayda hile yapıyor	4.4	ENTAILMENT
8343	Motokros üniformalı bir adam kask takıyor ve kırmızı motosiklet sürüyor	Motokros üniformalı bir kişi kask takıyor ve kırmızı motosiklet sürüyor	4.8	ENTAILMENT
8362	Çizgili bir gömlekli bir çocuk su çeşmesinin arkasına atlıyor	Çizgili bir gömlekli bir çocuk su çeşmesinin önüne atlıyor	4.2	NEUTRAL
8375	İki büyük köpek, açık renkli bir ve karanlık bir köpek, karlı bir arazide uyuyor	İki köpek karlı çim ve kayalardan sıçrıyor	2.4	NEUTRAL
8383	Mavi bir kız yeşil bir slayt aşağı kayıyor	Blue'daki genç kız bir slaydın tadını çıkarıyor	4.3	ENTAILMENT
8389	Beyaz bir adam büyük bir şehirdeki bir binanın yanında yürüyor	Büyük bir şehirdeki bir binanın yanında siyah bir adam yürüyor	3.3	NEUTRAL
8461	Şapkası olmayan bir adam yerde oturuyor	Geriye doğru şapkası olan bir adam yerde oturuyor	4.0	NEUTRAL
8471	Mavi kazakta bir kız çok renkli bir oyuncak tutuyor ve gri saçlı yaşlı bir adamın omuzlarında oturuyor	Mavi kazakta bir kız çok renkli bir oyuncak tutuyor ve gri saçlı bir adamın omuzlarında oturuyor	4.6	ENTAILMENT
8500	Adam suya giriyor	Kişi denize giriyor	4.1	NEUTRAL
8505	İki kişi güneşli bir günde bir park bankında oturuyor	Sıcak bir günde iki kişi bir park bankında oturuyor	4.3	NEUTRAL
8548	Çocuk büyük kırmızı havuzda su sıçramıyor	Bir yürümeye başlayan çocuk mavi kürek havuzunun içinde bir sıçrama yapıyor	3.1	NEUTRAL
8558	Gri ipeksi bir köpek çimen içinde yatıyor ve kahverengi bir köpek bakıyor	Kahverengi köpek kuru otlarda yatan siyah bir köpek tespit ediyor	3.2	NEUTRAL
8576	Siyah bir köpek ve küçük beyaz ve siyah bir köpek mutfak tezgahına bakıyor	Büyük bir köpek ve küçük bir köpek mutfak tezgahının yanında duruyor ve araştırıyor	4.2	ENTAILMENT
8632	Bir adam kaya tırmanışı değil ve bir şehir ve koy arka planda	Bir adam kaya tırmanışı ve bir şehir ve bir koy arka planda	4.4	CONTRADICTION
8633	Bir adam rotayı kaya tırmanışı, duraklaması ve hesaplamasıdır	Bir adam rotayı kaya tırmanıyor, durduruyor ve hesaplıyor	4.8	ENTAILMENT
8658	Hiçbir grup insan fuarda bir standda toplanmıyor	İnsanlar bir karnavalda duruyor	3.8	NEUTRAL
8660	Bir grup rollerblader sokakta sıraya giriyor	Bir grup rollerblader yolda sıraya giriyor	4.9	ENTAILMENT
8678	Bir kaykaycı bir rampadan atlıyor	Bir kaykaycı bir rampadan atlıyor	4.8	ENTAILMENT
8700	Siyah ve turuncu bir kuş çimlerde duruyor	Sarı gagalı siyah kuş yeşil çimlerde duruyor	4.0	NEUTRAL
8714	İki beyaz köpek hızla birlikte koşuyor	İki beyaz köpek birlikte koşuyor	4.6	ENTAILMENT
8727	Bir grup insan ses karıştırma masasının etrafında duruyor	Bazı insanlar ses ekipmanlarına bakıyor	3.5	ENTAILMENT
